2020-04-27 02:04:02 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:276 INFO  LoginPage :45 - Clicking on login button Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 02:04:349 INFO  LoginPage :50 - Getting welcome admin text [[ChromeDriver: chrome on WINDOWS (4600b145115347f11619fbbf76fe3dff)] -> id: welcome]
2020-04-27 02:04:205 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:233 INFO  LoginPage :34 - Enter user name AdminUsername field [[ChromeDriver: chrome on WINDOWS (9ed56ec17eb92c0b6d89d82026ffc856)] -> id: txtUsername]
2020-04-27 02:04:662 INFO  LoginPage :41 - Enter password admin123Password field [[ChromeDriver: chrome on WINDOWS (9ed56ec17eb92c0b6d89d82026ffc856)] -> id: txtPassword]
2020-04-27 02:04:440 INFO  LoginPage :47 - Clicking on login button Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 02:04:498 INFO  LoginPage :52 - Getting welcome admin text [[ChromeDriver: chrome on WINDOWS (9ed56ec17eb92c0b6d89d82026ffc856)] -> id: welcome]
2020-04-27 02:04:600 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:249 INFO  LoginPage :34 - Enter user name dhannoUsername field [[ChromeDriver: chrome on WINDOWS (0121b4eb741b95016078331c9eb19274)] -> id: txtUsername]
2020-04-27 02:04:237 INFO  LoginPage :34 - Enter user name dh123Username field [[ChromeDriver: chrome on WINDOWS (0121b4eb741b95016078331c9eb19274)] -> id: txtUsername]
2020-04-27 02:04:561 INFO  LoginPage :47 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (0121b4eb741b95016078331c9eb19274)] -> id: btnLogin]
2020-04-27 02:04:725 INFO  LoginPage :58 - Getting Error Text [[ChromeDriver: chrome on WINDOWS (0121b4eb741b95016078331c9eb19274)] -> id: spanMessage]
2020-04-27 02:04:981 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:476 INFO  LoginPage :34 - Enter user name runnerUsername field [[ChromeDriver: chrome on WINDOWS (7a484c8358542c9691c7d968239e005c)] -> id: txtUsername]
2020-04-27 02:04:888 INFO  LoginPage :34 - Enter user name slow123Username field [[ChromeDriver: chrome on WINDOWS (7a484c8358542c9691c7d968239e005c)] -> id: txtUsername]
2020-04-27 02:04:360 INFO  LoginPage :47 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (7a484c8358542c9691c7d968239e005c)] -> id: btnLogin]
2020-04-27 02:04:425 INFO  LoginPage :58 - Getting Error Text [[ChromeDriver: chrome on WINDOWS (7a484c8358542c9691c7d968239e005c)] -> id: spanMessage]
2020-04-27 02:04:520 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:891 INFO  LoginPage :34 - Enter user name AdminUsername field [[ChromeDriver: chrome on WINDOWS (c8245b30df0a83a6182e345c93781187)] -> id: txtUsername]
2020-04-27 02:04:137 INFO  LoginPage :41 - Enter password admin123Password field [[ChromeDriver: chrome on WINDOWS (c8245b30df0a83a6182e345c93781187)] -> id: txtPassword]
2020-04-27 02:04:77 INFO  LoginPage :47 - Clicking on login button Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 02:04:121 INFO  LoginPage :52 - Getting welcome admin text [[ChromeDriver: chrome on WINDOWS (c8245b30df0a83a6182e345c93781187)] -> id: welcome]
2020-04-27 02:04:276 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:232 INFO  LoginPage :34 - Enter user name dhannoUsername field [[ChromeDriver: chrome on WINDOWS (90bf4b4bb48fcca9ae928212994d2a1a)] -> id: txtUsername]
2020-04-27 02:04:940 INFO  LoginPage :41 - Enter password dh123Password field [[ChromeDriver: chrome on WINDOWS (90bf4b4bb48fcca9ae928212994d2a1a)] -> id: txtPassword]
2020-04-27 02:04:79 INFO  LoginPage :47 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (90bf4b4bb48fcca9ae928212994d2a1a)] -> id: btnLogin]
2020-04-27 02:04:126 INFO  LoginPage :58 - Getting Error Text [[ChromeDriver: chrome on WINDOWS (90bf4b4bb48fcca9ae928212994d2a1a)] -> id: spanMessage]
2020-04-27 02:04:197 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 02:04:813 INFO  LoginPage :34 - Enter user name runnerUsername field [[ChromeDriver: chrome on WINDOWS (8bbb7c222374d4180ea0b05d891fbf81)] -> id: txtUsername]
2020-04-27 02:04:142 INFO  LoginPage :41 - Enter password slow123Password field [[ChromeDriver: chrome on WINDOWS (8bbb7c222374d4180ea0b05d891fbf81)] -> id: txtPassword]
2020-04-27 02:04:984 INFO  LoginPage :47 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (8bbb7c222374d4180ea0b05d891fbf81)] -> id: btnLogin]
2020-04-27 02:04:74 INFO  LoginPage :58 - Getting Error Text [[ChromeDriver: chrome on WINDOWS (8bbb7c222374d4180ea0b05d891fbf81)] -> id: spanMessage]
2020-04-27 02:04:169 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 03:04:443 INFO  LoginPage :34 - Enter user name slowrunUsername field [[ChromeDriver: chrome on WINDOWS (4047acc1e38c37de218c663e78c9cddd)] -> id: txtUsername]
2020-04-27 03:04:839 INFO  LoginPage :41 - Enter password fast234Password field [[ChromeDriver: chrome on WINDOWS (4047acc1e38c37de218c663e78c9cddd)] -> id: txtPassword]
2020-04-27 03:04:645 INFO  LoginPage :47 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (4047acc1e38c37de218c663e78c9cddd)] -> id: btnLogin]
2020-04-27 03:04:739 INFO  LoginPage :58 - Getting Error Text [[ChromeDriver: chrome on WINDOWS (4047acc1e38c37de218c663e78c9cddd)] -> id: spanMessage]
2020-04-27 03:04:991 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 03:04:111 INFO  LoginPage :34 - Enter user name xyzabcUsername field [[ChromeDriver: chrome on WINDOWS (dd1471d6d7a4563fa806619247d73fc1)] -> id: txtUsername]
2020-04-27 03:04:312 INFO  LoginPage :41 - Enter password zxy123Password field [[ChromeDriver: chrome on WINDOWS (dd1471d6d7a4563fa806619247d73fc1)] -> id: txtPassword]
2020-04-27 03:04:442 INFO  LoginPage :47 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (dd1471d6d7a4563fa806619247d73fc1)] -> id: btnLogin]
2020-04-27 03:04:577 INFO  LoginPage :58 - Getting Error Text [[ChromeDriver: chrome on WINDOWS (dd1471d6d7a4563fa806619247d73fc1)] -> id: spanMessage]
2020-04-27 03:04:888 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 03:04:86 INFO  LoginPage :34 - Enter user name AdminUsername field [[ChromeDriver: chrome on WINDOWS (27eb3b1665ce07424c26a3e6729bfec8)] -> id: txtUsername]
2020-04-27 03:04:713 INFO  LoginPage :41 - Enter password admin123Password field [[ChromeDriver: chrome on WINDOWS (27eb3b1665ce07424c26a3e6729bfec8)] -> id: txtPassword]
2020-04-27 03:04:817 INFO  LoginPage :47 - Clicking on login button Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 03:04:364 INFO  DashboardPage :49 - Clicking on admin button [[ChromeDriver: chrome on WINDOWS (27eb3b1665ce07424c26a3e6729bfec8)] -> xpath: //b[contains(text(),'Admin')]]
2020-04-27 03:04:273 INFO  DashboardPage :55 - Clicking on add button Proxy element for: DefaultElementLocator 'By.id: btnAdd'
2020-04-27 03:04:354 INFO  DashboardPage :42 - Getting Add Feature Text Message [[ChromeDriver: chrome on WINDOWS (27eb3b1665ce07424c26a3e6729bfec8)] -> xpath: //h1[@id='UserHeading']]
2020-04-27 03:04:442 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-27 03:04:952 INFO  LoginPage :34 - Enter user name AdminUsername field [[ChromeDriver: chrome on WINDOWS (db9e12b62d4bd8c0ee3f908371319807)] -> id: txtUsername]
2020-04-27 03:04:159 INFO  LoginPage :41 - Enter password admin123Password field [[ChromeDriver: chrome on WINDOWS (db9e12b62d4bd8c0ee3f908371319807)] -> id: txtPassword]
2020-04-27 03:04:173 INFO  LoginPage :47 - Clicking on login button Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 03:04:775 INFO  DashboardPage :37 - Clicking On Market Place Button[[ChromeDriver: chrome on WINDOWS (db9e12b62d4bd8c0ee3f908371319807)] -> xpath: //input[@id='MP_link']]
2020-04-27 03:04:909 INFO  DashboardPage :30 - Getting Orange Text MessageProxy element for: DefaultElementLocator 'By.xpath: //h1[@id='UserHeading']'
2020-04-28 17:04:288 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-28 17:04:901 INFO  LoginPage :34 - Enter user name AdminUsername field [[ChromeDriver: chrome on WINDOWS (a31e08fb4da33467e4e78e3260bc5456)] -> id: txtUsername]
2020-04-28 17:04:62 INFO  LoginPage :41 - Enter password admin123Password field [[ChromeDriver: chrome on WINDOWS (a31e08fb4da33467e4e78e3260bc5456)] -> id: txtPassword]
2020-04-28 17:04:82 INFO  LoginPage :47 - Clicking on login button Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-28 17:04:518 INFO  HomePage :50 - Clicking on admin button [[ChromeDriver: chrome on WINDOWS (a31e08fb4da33467e4e78e3260bc5456)] -> xpath: //b[contains(text(),'Admin')]]
2020-04-28 17:04:221 INFO  HomePage :56 - Clicking on add button Proxy element for: DefaultElementLocator 'By.id: btnAdd'
2020-04-28 17:04:285 INFO  HomePage :43 - Getting Add Feature Text Message [[ChromeDriver: chrome on WINDOWS (a31e08fb4da33467e4e78e3260bc5456)] -> xpath: //h1[@id='UserHeading']]
2020-04-28 17:04:395 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-28 17:04:685 INFO  LoginPage :34 - Enter user name AdminUsername field [[ChromeDriver: chrome on WINDOWS (45389fb0677c99a766a9722fdddaed68)] -> id: txtUsername]
2020-04-28 17:04:881 INFO  LoginPage :41 - Enter password admin123Password field [[ChromeDriver: chrome on WINDOWS (45389fb0677c99a766a9722fdddaed68)] -> id: txtPassword]
2020-04-28 17:04:772 INFO  LoginPage :47 - Clicking on login button Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-28 17:04:69 INFO  HomePage :38 - Clicking On Market Place Button[[ChromeDriver: chrome on WINDOWS (45389fb0677c99a766a9722fdddaed68)] -> xpath: //input[@id='MP_link']]
2020-04-28 17:04:137 INFO  HomePage :31 - Getting Orange Text MessageProxy element for: DefaultElementLocator 'By.xpath: //h1[@id='UserHeading']'
2020-04-28 17:04:220 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-28 17:04:539 INFO  LoginPage :34 - Enter user name AdminUsername field [[ChromeDriver: chrome on WINDOWS (f2f6dd7236394de4e346aaa4472b6c83)] -> id: txtUsername]
2020-04-28 17:04:772 INFO  LoginPage :41 - Enter password admin123Password field [[ChromeDriver: chrome on WINDOWS (f2f6dd7236394de4e346aaa4472b6c83)] -> id: txtPassword]
2020-04-28 17:04:658 INFO  LoginPage :47 - Clicking on login button Proxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-28 17:04:823 INFO  LoginPage :52 - Getting welcome admin text [[ChromeDriver: chrome on WINDOWS (f2f6dd7236394de4e346aaa4472b6c83)] -> id: welcome]
2020-04-28 17:04:247 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-28 17:04:420 INFO  LoginPage :34 - Enter user name patelUsername field [[ChromeDriver: chrome on WINDOWS (f4626cd382c5b85b23ff46ef1a7d607d)] -> id: txtUsername]
2020-04-28 17:04:742 INFO  LoginPage :41 - Enter password Pattel1Password field [[ChromeDriver: chrome on WINDOWS (f4626cd382c5b85b23ff46ef1a7d607d)] -> id: txtPassword]
2020-04-28 17:04:771 INFO  LoginPage :47 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (f4626cd382c5b85b23ff46ef1a7d607d)] -> id: btnLogin]
2020-04-28 17:04:822 INFO  LoginPage :58 - Getting Error Text [[ChromeDriver: chrome on WINDOWS (f4626cd382c5b85b23ff46ef1a7d607d)] -> id: spanMessage]
2020-04-28 17:04:882 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-28 17:04:166 INFO  LoginPage :34 - Enter user name patel123Username field [[ChromeDriver: chrome on WINDOWS (3c5fcc7f8c1f9028c2eee8f7e4779fac)] -> id: txtUsername]
2020-04-28 17:04:769 INFO  LoginPage :41 - Enter password Patel345Password field [[ChromeDriver: chrome on WINDOWS (3c5fcc7f8c1f9028c2eee8f7e4779fac)] -> id: txtPassword]
2020-04-28 17:04:323 INFO  LoginPage :47 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (3c5fcc7f8c1f9028c2eee8f7e4779fac)] -> id: btnLogin]
2020-04-28 17:04:363 INFO  LoginPage :58 - Getting Error Text [[ChromeDriver: chrome on WINDOWS (3c5fcc7f8c1f9028c2eee8f7e4779fac)] -> id: spanMessage]
2020-04-28 17:04:412 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-28 17:04:440 INFO  LoginPage :34 - Enter user name premUsername field [[ChromeDriver: chrome on WINDOWS (e2f8708c0ec209c5a760a3b52ff53703)] -> id: txtUsername]
2020-04-28 17:04:665 INFO  LoginPage :41 - Enter password prem0609Password field [[ChromeDriver: chrome on WINDOWS (e2f8708c0ec209c5a760a3b52ff53703)] -> id: txtPassword]
2020-04-28 17:04:804 INFO  LoginPage :47 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (e2f8708c0ec209c5a760a3b52ff53703)] -> id: btnLogin]
2020-04-28 17:04:849 INFO  LoginPage :58 - Getting Error Text [[ChromeDriver: chrome on WINDOWS (e2f8708c0ec209c5a760a3b52ff53703)] -> id: spanMessage]
2020-04-28 17:04:934 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-28 17:04:155 INFO  LoginPage :34 - Enter user name meghUsername field [[ChromeDriver: chrome on WINDOWS (722e226549a649d035871b98c6e752a3)] -> id: txtUsername]
2020-04-28 17:04:395 INFO  LoginPage :41 - Enter password megh1709Password field [[ChromeDriver: chrome on WINDOWS (722e226549a649d035871b98c6e752a3)] -> id: txtPassword]
2020-04-28 17:04:143 INFO  LoginPage :47 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (722e226549a649d035871b98c6e752a3)] -> id: btnLogin]
2020-04-28 17:04:195 INFO  LoginPage :58 - Getting Error Text [[ChromeDriver: chrome on WINDOWS (722e226549a649d035871b98c6e752a3)] -> id: spanMessage]
